"Reported Trait","Mapped Trait",Tissues,"Gene Symbol","Ensembl ID","Gene Type",Method/Software,"Effect Size",P-value,Publication
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Nerve Tibial",CCDC88B,ENSG00000168071.21,protein-coding,"Probabilistic Transcriptome-Wide Association(PTWAS)",'-,3.75E-05,TWASP000141
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Heart Atrial Appendage",PPP1R1B,ENSG00000131771.13,protein-coding,"Probabilistic Transcriptome-Wide Association(PTWAS)",'-,3.75E-06,TWASP000141
"Inflammatory Bowel Disease","Inflammatory Bowel Disease",Pituitary,CFAP74,ENSG00000142609.17,protein-coding,Summary-MultiXcan(S-MultiXcan),'-,3.76E-08,TWASP000056
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Skin Not Sun Exposed",CEP43,ENSG00000213066,protein-coding,"Probabilistic Transcriptome-Wide Association(PTWAS)",'-,3.76E-10,TWASP000141
"Inflammatory Bowel Disease","Inflammatory Bowel Disease",Fibroblasts,EGR2,ENSG00000122877.15,protein-coding,"Probabilistic Transcriptome-Wide Association(PTWAS)",'-,3.80E-10,TWASP000141
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Skin Sun Exposed",SLC26A6,ENSG00000225697.12,protein-coding,"Probabilistic Transcriptome-Wide Association(PTWAS)",'-,3.80E-11,TWASP000141
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Muscle Skeletal",ATP2A1-AS1,ENSG00000260442.5,antisense,"Probabilistic Transcriptome-Wide Association(PTWAS)",'-,3.81E-08,TWASP000141
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Esophagus Gastroesophageal",SLC2A4RG,ENSG00000125520.13,protein-coding,"Probabilistic Transcriptome-Wide Association(PTWAS)",'-,3.81E-13,TWASP000141
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Brain Hypothalamus",YDJC,ENSG00000161179.13,protein-coding,"Probabilistic Transcriptome-Wide Association(PTWAS)",'-,3.82E-10,TWASP000141
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Esophagus Gastroesophageal",CISD1,ENSG00000122873.11,protein-coding,"Probabilistic Transcriptome-Wide Association(PTWAS)",'-,3.83E-05,TWASP000141
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Whole Blood",SFTA2,ENSG00000196260.4,protein-coding,Summary-MultiXcan(S-MultiXcan),'-,3.84E-08,TWASP000056
"Inflammatory Bowel Disease","Inflammatory Bowel Disease",Testis,TRAF3IP3,ENSG00000009790.14,protein-coding,"Probabilistic Transcriptome-Wide Association(PTWAS)",'-,3.85E-05,TWASP000141
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Transverse Colon",RBM22,ENSG00000086589.11,protein-coding,"Probabilistic Transcriptome-Wide Association(PTWAS)",'-,3.85E-07,TWASP000141
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Small Intestine-Terminal Ileum",RP11-1348G14.4,ENSG00000251417.2,lincRNA,"Probabilistic Transcriptome-Wide Association(PTWAS)",'-,3.85E-09,TWASP000141
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Artery Tibia",RPL3,ENSG00000100316.15,protein-coding,"Probabilistic Transcriptome-Wide Association(PTWAS)",'-,3.86E-06,TWASP000141
"Inflammatory Bowel Disease","Inflammatory Bowel Disease",Adipose,PIP4K2C,ENSG00000166908.17,protein-coding,"Probabilistic Transcriptome-Wide Association(PTWAS)",'-,3.87E-05,TWASP000141
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Nucleus Accumbens Basal Ganglia",AC034220.3,ENSG00000233006.6,processed_transcript,"Probabilistic Transcriptome-Wide Association(PTWAS)",'-,3.88E-05,TWASP000141
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Colon Sigmoid",SNORC,ENSG00000182600,protein-coding,Summary-MultiXcan(S-MultiXcan),'-,3.88E-10,TWASP000056
"Inflammatory Bowel Disease","Inflammatory Bowel Disease",Pancreas,BSN-DT,ENSG00000226913,ncRNA,"Probabilistic Transcriptome-Wide Association(PTWAS)",'-,3.89E-15,TWASP000141
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Brain Cerebellum",ATP6V1G2,ENSG00000213760.10,protein-coding,"Probabilistic Transcriptome-Wide Association(PTWAS)",'-,3.90E-07,TWASP000141
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Nerve Tibial",RP11-196B3.3,ENSG00000275186.1,antisense,"Probabilistic Transcriptome-Wide Association(PTWAS)",'-,3.93E-05,TWASP000141
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Breast Mammary Tissue",MTX1P1,ENSG00000236675.1,unprocessed_pseudogene,"Probabilistic Transcriptome-Wide Association(PTWAS)",'-,3.93E-06,TWASP000141
"Inflammatory Bowel Disease","Inflammatory Bowel Disease",Thyroid,APOBR,ENSG00000184730.10,protein-coding,"Probabilistic Transcriptome-Wide Association(PTWAS)",'-,3.93E-10,TWASP000141
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Brain Cerebellar Hemisphere",ZGPAT,ENSG00000197114.11,protein-coding,Summary-MultiXcan(S-MultiXcan),'-,3.94E-09,TWASP000056
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Skin Not Sun Exposed",XPO6,ENSG00000169180.11,protein-coding,"Probabilistic Transcriptome-Wide Association(PTWAS)",'-,3.97E-05,TWASP000141
"Inflammatory Bowel Disease","Inflammatory Bowel Disease",Adipose,RPS6KA4,ENSG00000162302.12,protein-coding,"Probabilistic Transcriptome-Wide Association(PTWAS)",'-,3.98E-05,TWASP000141
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Brain Cortex",BTNL2,ENSG00000204290.10,protein-coding,"Probabilistic Transcriptome-Wide Association(PTWAS)",'-,4.00E-14,TWASP000141
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Small Intestine-Terminal Ileum",STK19,ENSG00000204344.14,protein-coding,Summary-MultiXcan(S-MultiXcan),'-,4.00E-35,TWASP000056
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Whole Blood",CNEP1R1,ENSG00000205423.11,protein-coding,Summary-MultiXcan(S-MultiXcan),'-,4.01E-08,TWASP000056
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Muscle Skeletal",LINC01126,ENSG00000279873.2,lincRNA,"Probabilistic Transcriptome-Wide Association(PTWAS)",'-,4.01E-09,TWASP000141
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Transverse Colon",GSDMB,ENSG00000073605.18,protein-coding,"Probabilistic Transcriptome-Wide Association(PTWAS)",'-,4.03E-14,TWASP000141
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Esophagus Mucosa",INTS11,ENSG00000127054.20,protein-coding,"Probabilistic Transcriptome-Wide Association(PTWAS)",'-,4.04E-05,TWASP000141
"Inflammatory Bowel Disease","Inflammatory Bowel Disease",Stomach,CAMKV,ENSG00000164076.16,protein-coding,"Probabilistic Transcriptome-Wide Association(PTWAS)",'-,4.06E-10,TWASP000141
"Inflammatory Bowel Disease","Inflammatory Bowel Disease",Adipose,PRKCB,ENSG00000166501.12,protein-coding,"Probabilistic Transcriptome-Wide Association(PTWAS)",'-,4.08E-05,TWASP000141
"Inflammatory Bowel Disease","Inflammatory Bowel Disease",Prostate,XXbac-BPG248L24.12,ENSG00000271581.1,unprocessed_pseudogene,"Probabilistic Transcriptome-Wide Association(PTWAS)",'-,4.10E-05,TWASP000141
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Brain Cerebellar Hemisphere",CCDC71,ENSG00000177352.9,protein-coding,Summary-MultiXcan(S-MultiXcan),'-,4.10E-10,TWASP000056
"Inflammatory Bowel Disease","Inflammatory Bowel Disease",Ovary,BTNL2,ENSG00000204290.10,protein-coding,Summary-MultiXcan(S-MultiXcan),'-,4.11E-12,TWASP000056
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Aortic Artery",TTC33,ENSG00000113638.13,protein-coding,"Probabilistic Transcriptome-Wide Association(PTWAS)",'-,4.12E-11,TWASP000141
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Brain Hippocampus",TTC33,ENSG00000113638.13,protein-coding,Summary-MultiXcan(S-MultiXcan),'-,4.14E-08,TWASP000056
